# milliseconds,radio_intensity
1605.07,0.29
1609.53,-0.03
1613.98,0.21
1618.44,0.50
1622.90,0.88
1627.36,1.04
1631.82,1.07
1636.28,1.44
1640.74,1.26
1645.19,1.45
1649.65,1.63
1654.11,1.29
1658.57,1.43
1663.03,1.08
1667.49,0.82
1671.94,0.69
1676.40,0.70
1680.86,1.28
1685.32,1.16
1689.78,1.42
1694.24,2.03
1698.70,2.11
1703.15,2.75
1707.61,2.71
1712.07,2.53
1716.53,2.91
1720.99,2.66
1725.45,2.89
1729.91,3.75
1734.36,4.24
1738.82,5.19
1743.28,6.05
1747.74,6.57
1752.20,8.83
1756.66,10.26
1761.12,10.74
1765.57,11.68
1770.03,12.43
1774.49,13.36
1778.95,13.91
1783.41,14.31
1787.87,14.74
1792.32,14.78
1796.78,15.01
1801.24,15.61
1805.70,15.58
1810.16,16.24
1814.62,16.23
1819.08,16.03
1823.53,16.30
1827.99,16.06
1832.45,16.46
1836.91,15.99
1841.37,16.01
1845.83,16.36
1850.29,16.22
1854.74,15.70
1859.20,15.64
1863.66,15.84
1868.12,15.20
1872.58,14.95
1877.04,15.06
1881.50,14.84
1885.95,14.10
1890.41,14.04
1894.87,14.15
1899.33,13.58
1903.79,13.03
1908.25,12.35
1912.70,11.77
1917.16,11.46
1921.62,10.62
1926.08,10.81
1930.54,11.22
1935.00,11.61
1939.46,11.64
1943.91,11.24
1948.37,11.69
1952.83,11.24
1957.29,10.53
1961.75,10.61
1966.21,9.95
1970.67,9.70
1975.12,9.03
1979.58,8.24
1984.04,8.22
1988.50,7.25
1992.96,7.09
1997.42,6.71
2001.88,6.28
2006.33,5.72
2010.79,5.09
2015.25,4.96
2019.71,5.15
2024.17,5.30
2028.63,5.46
2033.08,5.22
2037.54,5.32
2042.00,5.23
2046.46,5.29
2050.92,5.77
2055.38,5.52
2059.84,5.77
2064.29,5.77
2068.75,5.70
2073.21,5.74
2077.67,5.95
2082.13,5.70
2086.59,5.67
2091.05,5.75
2095.50,5.92
2099.96,6.05
2104.42,5.90
2108.88,6.57
2113.34,6.43
2117.80,6.55
2122.26,7.27
2126.71,7.15
2131.17,6.97
2135.63,7.05
2140.09,7.00
2144.55,7.20
2149.01,6.93
2153.46,7.33
2157.92,7.07
2162.38,7.87
2166.84,8.22
2171.30,8.50
2175.76,8.86
2180.22,8.97
2184.67,9.14
2189.13,9.95
2193.59,9.64
2198.05,9.49
2202.51,9.45
2206.97,10.03
2211.43,9.65
2215.88,9.80
2220.34,9.63
2224.80,8.98
2229.26,9.01
2233.72,9.05
2238.18,8.88
2242.64,8.26
2247.09,7.37
2251.55,6.15
2256.01,5.13
2260.47,4.39
2264.93,4.32
2269.39,3.82
2273.84,4.05
2278.30,4.00
2282.76,3.31
2287.22,2.76
2291.68,1.90
2296.14,1.06
2300.60,1.44
2305.05,1.47
2309.51,1.94
2313.97,1.84
2318.43,0.74
2322.89,0.36
2327.35,-0.18
2331.81,0.09
2336.26,0.47
2340.72,0.78
2345.18,1.04
2349.64,0.78
2354.10,0.20
2358.56,0.08
2363.02,-0.31
2367.47,-0.92
2371.93,-1.04
2376.39,-0.56
2380.85,-0.74
2385.31,-0.38
2389.77,-0.67
2394.22,-0.13
2398.68,-0.49
2403.14,-0.44
2407.60,-0.09
2412.06,-0.07
2416.52,0.32
2420.98,0.16
2425.43,0.41
2429.89,0.22
2434.35,0.25
2438.81,0.21
2443.27,0.43
2447.73,0.57
2452.19,0.50
2456.64,0.18
2461.10,0.28
2465.56,0.48
2470.02,0.41
2474.48,0.14
2478.94,0.17
2483.40,-0.04
2487.85,0.38
2492.31,-0.12
2496.77,0.33
2501.23,-0.02
2505.69,0.09
2510.15,-0.17
2514.60,0.07
2519.06,-0.78
2523.52,-1.44
2527.98,-0.88
2532.44,-0.70
2536.90,0.07
2541.36,0.00
2545.81,0.00
2550.27,0.03
2554.73,-0.46
2559.19,-0.49
2563.65,-0.39
2568.11,0.05
2572.57,-0.31
2577.02,-0.29
2581.48,-0.06
2585.94,-0.33
2590.40,-0.35
2594.86,-0.29
2599.32,-0.24
2603.78,-0.02
2608.23,-0.20
2612.69,-0.29
2617.15,-0.38
2621.61,0.04
2626.07,-0.39
2630.53,-0.34
2634.98,-0.58
2639.44,-0.26
2643.90,-0.64
2648.36,-1.05
2652.82,-0.83
2657.28,-0.80
2661.74,-0.47
2666.19,-0.13
2670.65,-0.12
2675.11,-1.43
2679.57,-1.15
2684.03,-1.25
2688.49,-1.13
2692.95,-0.76
2697.40,-0.25
2701.86,0.40
2706.32,0.26
2710.78,0.30
2715.24,0.36
2719.70,0.73
2724.16,0.27
2728.61,0.33
2733.07,0.04
2737.53,0.41
2741.99,-0.11
2746.45,0.16
2750.91,0.46
2755.36,0.56
2759.82,0.63
2764.28,0.14
2768.74,-0.09
2773.20,-0.42
2777.66,-0.96
